year,title,genre_major,location,lat,lon,creator_normalized,coordinates
1842,[画本柳樽],日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1854,[落噺臍能七艸] : 3巻,小説．物語,大阪,34.6937,135.5023,不明,"34.6937,135.5023"
1821,あちま野,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1850,あまのくゝつ,日本文学,大阪,34.6937,135.5023,中島 広足,"34.6937,135.5023"
1808,いきじもの,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1808,うけらが花 : 2編14巻,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1834,うた日記,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1845,おあむ物語 おきく物語,日本文学,江戸,35.6895,139.6917,不明,"35.6895,139.6917"
1852,おらが春,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1853,かしのしつ枝 : 2巻,日本文学,大阪,34.6937,135.5023,中島 広足,"34.6937,135.5023"
1803,かつらかさね,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1822,くせものかたり,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1821,さやさや草紙 : 3巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1800,しのすだれ,日本文学,長崎,32.7503,129.8779,中島 広足,"32.7503,129.8779"
1812,すみれ草,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,にひまなび,日本文学,大阪,34.6937,135.5023,賀茂 真淵,"34.6937,135.5023"
1810,ふたくさの道記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1805,ましり咲,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1821,やつれ蓑の日記,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1800,万紫千紅,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1854,万葉小諷総目録,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1823,万葉山常百首,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1867,万葉集書目,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1815,万葉集楢落葉 : 5巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1856,万葉集略解 : 20巻,詩歌,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1853,三代和歌集 : 校本,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1811,三日月集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1859,三都妖婦伝 : 4編,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,三養雑記 : 4巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1831,不二紀行詩,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1858,不繋舟 3巻,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1843,世事百談,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1850,中空の日記 : 東塢大人紀行,日本文学,京都,35.0116,135.7681,香川 景樹,"35.0116,135.7681"
1838,丹鶴百人一首宝庫,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1850,久保之取蛇尾 : 3巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1821,亮々草紙,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1848,人心百物がたり,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1805,今按名蹟考,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1857,仏山堂詩鈔,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1858,仮名読八犬伝,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1855,佐倉義民伝,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1853,佐嘉日記,日本文学,長崎,32.7503,129.8779,中島 広足,"32.7503,129.8779"
1827,俳諧一葉集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1837,俳諧今七部集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1811,俳諧四季文集/初篇,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1807,俳諧天爾波抄,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1856,俳諧手挑灯,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1845,俳諧拾葉集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1836,俳諧歌種心集,詩歌,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1803,俳諧歳時記,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1854,俳諧玉ひろひ,日本文学,金沢,36.5613,136.6562,その他,"36.5613,136.6562"
1850,俳諧百一集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1848,俳諧裾野集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1860,俵藤太竜宮蜃話 : 3巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1832,偐紫田舎源氏,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1861,傍廂,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1856,八犬伝後日譚,小説．物語,江戸,35.6895,139.6917,為永春水,"35.6895,139.6917"
1812,円珠庵雑記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1812,円珠菴雑記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1847,列女百人一首,日本文学,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1831,刪訂詩学貫珠,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1803,前太平記図会,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1840,加越能三州百人歌集,日本文学,金沢,36.5613,136.6562,その他,"36.5613,136.6562"
1848,北条時頼記図会,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1819,北辺随筆,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1839,北道遊簿 : 2巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1810,十二番歌合 : 寛保元年八月於荷田在満家,詩歌,江戸,35.6895,139.6917,賀茂 真淵,"35.6895,139.6917"
1801,十評発句集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1836,千本桜後日仇討,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1817,千紅万紫 : 初集,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1861,南北太平記図会,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1839,古人五百題句集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1826,古今和歌集 : 20巻,古代後期［中古］：平安時代,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1835,古今和歌集正義,詩歌,京都,35.0116,135.7681,香川 景樹,"35.0116,135.7681"
1816,古今集遠鏡,日本文学,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1800,古文真宝正文 : 後集2巻,日本文学,江戸,35.6895,139.6917,不明,"35.6895,139.6917"
1837,古風三躰考,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1801,和哥八重垣 : 7巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1827,和歌ふるの山ふみ : 4巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1843,和漢朗詠集,文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1800,和漢英雄百人一首,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,唐物語,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1800,唐詩選画本 : 7編35巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1846,善悪道中記,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1842,嚶々筆語,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1848,四季発句呉竹類題集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1862,四時行,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1808,国字鵺物語 : 5巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1820,土佐のにき,日記．書簡．紀行,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1806,填詞図譜 : 2巻附録1巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1857,増補掌中梅室発句集,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1836,墨林奇標,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1833,変宅論 : 2巻,小説．物語,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1849,大伴金道忠孝図絵,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1803,大和物語,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1823,大宝倭漢朗詠集 : 2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1841,大師河原撫子話 : 〔和綴じ本〕,不明,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1834,大幣,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1839,天保佳話,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,天竺徳瓶物語,日本文学,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1834,太平楽皇国性質,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1820,太田道潅雄飛録,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1840,夷曲歌集百人一首,日本文学,金沢,36.5613,136.6562,その他,"36.5613,136.6562"
1851,奇特百歌撰初編,詩歌,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1850,孝経楼漫筆,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1808,宇家良我波奈,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1811,安宅集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1812,宋三大家絶句 : 1巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1862,宮川舎漫筆,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1854,小栗一代記,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1813,小栗外伝,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1820,小説由井ケ浜,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1827,少女巻抄注,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1803,居行子,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1836,山陽先生書後・山陽先生題跋 : 書後3巻題跋2巻附録2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1833,山陽詩鈔,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1841,山陽遺稿 : 文10巻詩7巻拾遺1巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1835,左大将家百首歌合,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1810,己痴群夢多字画尽,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1804,年山紀聞,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1812,後撰集新抄,日本文学,名古屋,35.1815,136.9066,その他,"35.1815,136.9066"
1824,後無射集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1852,復讐銘々伝,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1838,心の種 : 3巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1825,忠臣蔵,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1812,忠臣蔵偏癡気論,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1806,怜野集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1832,思斎漫録,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1825,愚雑爼 : 2巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1838,愛日楼文詩 : 4巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1847,慎夏漫筆,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1803,戯場訓蒙図彙 : 8巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1839,手綱染余作春駒,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1824,承久軍談鎌倉太平記,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1845,折添集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1850,提醒紀談,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1821,文あはせ,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1828,文教温故 : 2巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,文淵遺珠,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1846,文語解 : 5巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1802,斉明紀童謡考,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1815,新学異見,日本文学,京都,35.0116,135.7681,香川 景樹,"35.0116,135.7681"
1849,新撰狂句図会,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1846,新撰画本柳樽,日本文学,江戸,35.6895,139.6917,緑亭川柳,"35.6895,139.6917"
1837,新朗詠集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1855,新柳多留,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1800,新柳樽 : 初篇,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1818,新歌林良材集 : 2巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1814,新百人一首,詩歌,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1825,新編俳諧文集,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1847,新編金瓶梅 : 10集80巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1825,新製艶油舗,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1841,方円俳諧集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1843,日光駅程見聞雑記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1830,日本楽府 : 山陽外史擬製,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1810,早引説要集,日本文学,江戸,35.6895,139.6917,山東 京山,"35.6895,139.6917"
1854,春の文かしくの草紙,小説．物語,江戸,35.6895,139.6917,山東 京山,"35.6895,139.6917"
1841,春色梅美婦禰,日本文学,江戸,35.6895,139.6917,為永春水,"35.6895,139.6917"
1816,曽禰好忠家集,詩歌,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1833,木曽義仲勲功図会,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1822,木曽義仲鼎臣録,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1803,東〓子,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1822,東武六歌仙,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1825,東洞先生遺稿 : 3巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1867,東海道膝栗毛,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,東貝 : 5巻,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
